Ticker,Weight,Sharpe
AAPL,0.04628625,3.460136
AMZN,0.03116782,3.460136
CAT,0.00196892,3.460136
CRM,0.12085060,3.460136
CSCO,0.02368453,3.460136
CVX,0.00538713,3.460136
DIS,0.15851729,3.460136
GS,0.00078638,3.460136
HON,0.03870653,3.460136
IBM,0.09385608,3.460136
JNJ,0.01866445,3.460136
JPM,0.02039689,3.460136
KO,0.00818200,3.460136
MCD,0.02496219,3.460136
MMM,0.00336607,3.460136
MRK,0.00081551,3.460136
MSFT,0.01626509,3.460136
NKE,0.00278373,3.460136
NVDA,0.02600309,3.460136
PG,0.03949024,3.460136
TRV,0.00161965,3.460136
UNH,0.00674964,3.460136
V,0.12855277,3.460136
VZ,0.01214415,3.460136
WMT,0.16879301,3.460136
